#Alamein Line - To Alamein,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament,Richmond,East Richmond,Burnley,Hawthorn,Glenferrie,Auburn,Camberwell,Riversdale,Willison,Hartwell,Burwood,Asburton,Alamein
t125,-,-,-,-,-,16:31,,,,,16:34,16:36,16:38,16:40,16:42,16:44,16:46,-,-,-,-,-,-
t126,-,-,-,-,-,16:36,16:39,16:41,16:43,16:45,16:48,|,|,|,16:52,|,16:56,-,-,-,-,-,-
t127,-,-,-,-,-,16:38,,,,,16:41,16:43,16:45,16:47,16:49,16:51,16:53,16:56,16:58,17:00,17:02,17:04,17:05
t128,-,-,-,-,-,16:42,16:45,16:47,16:49,16:51,16:54,-,-,-,-,-,-,-,-,-,-,-,-
t129,-,-,-,-,-,16:43,,,,,16:46,16:48,16:50,16:52,16:54,16:56,16:58,-,-,-,-,-,-
t130,-,-,-,-,-,16:46,16:49,16:51,16:53,16:55,16:58,|,|,|,17:02,|,17:06,-,-,-,-,-,-
t131,-,-,-,-,-,16:49,,,,,16:52,16:54,16:56,16:58,17:00,17:02,17:04,17:07,17:09,17:11,17:13,17:15,17:16
t132,-,-,-,-,-,16:53,16:56,16:58,17:00,17:02,17:05,-,-,-,-,-,-,-,-,-,-,-,-
t133,-,-,-,-,-,16:56,16:59,17:01,17:03,17:05,17:08,-,-,-,-,-,-,-,-,-,-,-,-
t134,-,-,-,-,-,16:57,,,,,17:00,17:02,17:04,17:06,17:08,17:10,17:12,-,-,-,-,-,-
t135,-,-,-,-,-,16:58,17:01,17:03,17:05,17:07,17:10,|,|,|,17:14,|,17:18,-,-,-,-,-,-
t136,-,-,-,-,-,17:01,17:04,17:06,17:08,17:10,17:13,|,|,|,17:17,|,17:21,-,-,-,-,-,-
t137,-,-,-,-,-,17:05,,,,,17:08,17:10,17:12,17:14,17:16,17:18,17:20,17:23,17:25,17:27,17:29,17:31,17:32
t138,-,-,-,-,-,17:07,17:10,17:12,17:14,17:16,17:19,|,|,|,|,|,17:26,-,-,-,-,-,-
t139,-,-,-,-,-,17:10,17:13,17:15,17:17,17:19,17:22,-,-,-,-,-,-,-,-,-,-,-,-
t140,-,-,-,-,-,17:11,,,,,17:14,17:16,17:18,17:20,17:22,17:24,17:26,-,-,-,-,-,-
t141,-,-,-,-,-,17:13,17:16,17:18,17:20,17:22,17:25,|,|,|,17:29,|,17:33,-,-,-,-,-,-
t142,-,-,-,-,-,17:17,17:20,17:22,17:24,17:26,17:29,|,|,|,17:33,|,17:37,-,-,-,-,-,-
t143,-,-,-,-,-,17:18,,,,,17:21,17:23,17:25,17:27,17:29,17:31,17:33,17:36,17:38,17:40,17:42,17:44,17:45
t144,-,-,-,-,-,17:20,17:23,17:25,17:27,17:29,17:32,|,|,|,17:36,|,17:40,-,-,-,-,-,-
t145,-,-,-,-,-,17:26,17:29,17:31,17:33,17:35,17:38,|,|,|,|,|,17:45,-,-,-,-,-,-
t146,-,-,-,-,-,17:27,,,,,17:30,17:32,17:34,17:36,17:38,17:40,17:42,-,-,-,-,-,-
t147,-,-,-,-,-,17:31,17:34,17:36,17:38,17:40,17:43,-,-,-,-,-,-,-,-,-,-,-,-
t148,-,-,-,-,-,17:33,17:36,17:38,17:40,17:42,17:45,|,|,|,17:49,|,17:53,-,-,-,-,-,-
t149,-,-,-,-,-,17:34,,,,,17:37,17:39,17:41,17:43,17:45,17:47,17:49,17:52,17:54,17:56,17:58,18:00,18:01
t150,-,-,-,-,-,17:36,17:39,17:41,17:43,17:45,17:48,|,|,|,17:52,|,17:56,-,-,-,-,-,-
t151,-,-,-,-,-,17:41,,,,,17:44,17:46,17:48,17:50,17:52,17:54,17:56,-,-,-,-,-,-
t152,-,-,-,-,-,17:43,17:46,17:48,17:50,17:52,17:55,|,|,|,|,|,18:02,-,-,-,-,-,-
t153,-,-,-,-,-,17:47,,,,,17:50,17:52,17:54,17:56,17:58,18:00,18:02,18:05,18:07,18:09,18:11,18:13,18:14
t154,-,-,-,-,-,17:48,17:51,17:53,17:55,17:57,18:00,|,|,|,18:04,|,18:08,-,-,-,-,-,-
t155,-,-,-,-,-,17:55,,,,,17:58,|,|,|,|,|,18:07,-,-,-,-,-,-
t156,-,-,-,-,-,17:56,17:59,18:01,18:03,18:05,18:08,|,|,|,|,|,18:15,-,-,-,-,-,-
t157,-,-,-,-,-,18:01,18:04,18:06,18:08,18:10,18:13,|,|,|,18:17,|,18:21,-,-,-,-,-,-
t158,-,-,-,-,-,18:07,,,,,18:10,18:12,18:14,18:16,18:18,18:20,18:22,-,-,-,-,-,-
t159,-,-,-,-,-,18:09,,,,,18:12,18:14,18:16,18:18,18:20,18:22,18:24,18:27,18:29,18:31,18:33,18:35,18:36
t160,-,-,-,-,-,18:10,18:13,18:15,18:17,18:19,18:22,|,|,|,18:26,|,18:30,-,-,-,-,-,-
t161,-,-,-,-,-,18:18,18:21,18:23,18:25,18:27,18:30,|,|,|,|,|,18:37,-,-,-,-,-,-
t162,-,-,-,-,-,18:21,,,,,18:24,18:26,18:28,18:30,18:32,18:34,18:36,-,-,-,-,-,-
t163,-,-,-,-,-,18:24,18:27,18:29,18:31,18:33,18:36,|,|,|,18:40,|,18:44,-,-,-,-,-,-
t164,-,-,-,-,-,18:29,,,,,18:32,18:34,18:36,18:38,18:40,18:42,18:44,18:47,18:49,18:51,18:53,18:55,18:56
t165,-,-,-,-,-,18:33,18:36,18:38,18:39,18:41,18:44,|,|,|,18:48,|,18:52,-,-,-,-,-,-
t166,-,-,-,-,-,18:35,18:38,18:40,18:41,18:43,18:46,|,|,|,18:50,|,18:54,-,-,-,-,-,-
t167,-,-,-,-,-,18:49,,,,,18:52,18:54,18:56,18:58,19:00,19:02,19:04,19:07,19:08,19:10,19:12,19:14,19:16
t168,-,-,-,-,-,18:49,18:52,18:54,18:55,18:57,19:00,|,|,|,19:04,|,19:08,-,-,-,-,-,-
t169,-,-,-,-,-,18:58,19:01,19:03,19:04,19:06,19:09,|,|,|,19:13,|,19:17,-,-,-,-,-,-
t170,-,-,-,-,-,19:01,19:04,19:06,19:07,19:09,19:12,|,19:15,19:17,19:19,19:21,19:23,-,-,-,-,-,-
t171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:25,19:28,19:29,19:31,19:32,19:34,19:36
t172,-,-,-,-,-,19:11,19:14,19:16,19:17,19:19,19:22,|,|,|,19:26,|,19:30,-,-,-,-,-,-
t173,-,-,-,-,-,19:13,19:16,19:18,19:19,19:21,19:24,19:26,19:28,19:30,19:32,19:34,19:36,19:39,19:40,19:42,19:44,19:46,19:48
t174,-,-,-,-,-,19:18,19:21,19:23,19:24,19:26,19:29,|,|,|,19:33,|,19:37,-,-,-,-,-,-
t175,-,-,-,-,-,19:20,19:23,19:25,19:26,19:28,19:31,|,19:34,19:36,19:38,19:40,19:42,-,-,-,-,-,-
t176,-,-,-,-,-,19:35,19:38,19:40,19:41,19:43,19:46,|,19:49,19:51,19:53,19:55,19:57,-,-,-,-,-,-
t177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:59,20:02,20:03,20:05,20:06,20:08,20:10
t178,-,-,-,-,-,19:50,19:53,19:55,19:56,19:58,20:01,|,20:04,20:06,20:08,20:10,20:12,-,-,-,-,-,-
t179,-,-,-,-,-,20:05,20:08,20:10,20:11,20:13,20:16,|,20:19,20:21,20:23,20:25,20:27,-,-,-,-,-,-
t180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20:29,20:32,20:33,20:35,20:36,20:38,20:40
t181,-,-,-,-,-,20:20,20:23,20:25,20:26,20:28,20:31,|,20:34,20:36,20:38,20:40,20:42,-,-,-,-,-,-
t182,-,-,-,-,-,20:35,20:38,20:40,20:41,20:43,20:46,|,20:49,20:51,20:53,20:55,20:57,-,-,-,-,-,-
t183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20:59,21:02,21:03,21:05,21:06,21:08,21:10
t184,-,-,-,-,-,20:50,20:53,20:55,20:56,20:58,21:01,|,21:04,21:06,21:08,21:10,21:12,-,-,-,-,-,-
t185,-,-,-,-,-,21:05,21:08,21:10,21:11,21:13,21:16,|,21:19,21:21,21:23,21:25,21:27,-,-,-,-,-,-
t186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:29,21:32,21:33,21:35,21:36,21:38,21:40
t187,-,-,-,-,-,21:20,21:23,21:25,21:26,21:28,21:31,|,21:34,21:36,21:38,21:40,21:42,-,-,-,-,-,-
t188,-,-,-,-,-,21:35,21:38,21:40,21:41,21:43,21:46,|,21:49,21:51,21:53,21:55,21:57,-,-,-,-,-,-
t189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:59,22:02,22:03,22:05,22:06,22:08,22:10
t190,-,-,-,-,-,21:50,21:53,21:55,21:56,21:58,22:01,|,22:04,22:06,22:08,22:10,22:12,-,-,-,-,-,-
t191,-,-,-,-,-,22:05,22:08,22:10,22:11,22:13,22:16,|,22:19,22:21,22:23,22:25,22:27,-,-,-,-,-,-
t192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:29,22:32,22:33,22:35,22:36,22:38,22:40
t193,-,-,-,-,-,22:35,22:38,22:40,22:41,22:43,22:46,|,22:49,22:51,22:53,22:55,22:57,-,-,-,-,-,-
t194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:59,23:02,23:03,23:05,23:06,23:08,23:10
t195,-,-,-,-,-,23:05,23:08,23:10,23:11,23:13,23:16,|,23:19,23:21,23:23,23:25,23:27,-,-,-,-,-,-
t196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:29,23:32,23:33,23:35,23:36,23:38,23:40
