#Sunbury Line - To Sunbury,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Southern Cross,Flagstaff,Melbourne Central,Parliament,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Parliament,Melbourne Central,Flagstaff,North Melbourne,South Kensington,Footscray,Middle Footscray,West Footscray,Tottenham,Sunshine,Albion,Ginifer,St Albans,Keilor Plains,Watergardens,Diggers Rest,Sunbury
t170,18:30,,,,18:36,18:36,,18:38,18:40,18:42,18:46,|,18:51,18:53,18:54,18:57,19:00,19:03,19:06,19:08,19:11,19:15,19:22,19:28
t171,-,-,-,-,-,18:40,18:43,,,,18:46,18:49,18:52,-,-,-,-,-,-,-,-,-,-,-
t172,-,-,-,-,-,18:46,18:49,,,,18:52,|,18:56,-,-,-,-,-,-,-,-,-,-,-
t173,-,-,-,-,-,18:53,18:56,,,,18:59,19:02,19:05,-,-,-,-,-,-,-,-,-,-,-
t174,18:50,,,,18:56,18:56,,18:58,19:00,19:02,19:06,|,19:11,19:13,19:14,19:17,19:20,19:23,19:26,19:28,19:31,19:35,19:42,19:48
t175,-,-,-,-,-,19:00,19:03,,,,19:06,|,19:11,-,-,-,-,-,-,-,-,-,-,-
t176,-,-,-,-,-,19:15,19:18,,,,19:21,19:24,19:27,-,-,-,-,-,-,-,-,-,-,-
t177,19:09,,,,19:13,19:16,,19:18,19:20,19:22,19:26,|,19:31,19:33,19:34,19:37,19:40,19:43,19:46,19:48,19:51,19:55,-,-
t178,-,-,-,-,-,19:20,19:23,,,,19:26,|,19:31,-,-,-,-,-,-,-,-,-,-,-
t179,-,-,-,-,-,19:35,19:38,,,,19:41,19:44,19:47,-,-,-,-,-,-,-,-,-,-,-
t180,-,-,-,-,-,19:36,,19:38,19:40,19:42,19:46,|,19:51,19:53,19:54,19:57,20:00,20:03,20:06,20:08,20:11,20:15,20:22,20:28
t181,-,-,-,-,-,19:40,19:43,,,,19:46,|,19:51,-,-,-,-,-,-,-,-,-,-,-
t182,-,-,-,-,-,19:55,19:58,,,,20:01,20:04,20:07,-,-,-,-,-,-,-,-,-,-,-
t183,19:49,,,,19:53,19:56,,19:58,20:00,20:02,20:06,|,20:11,20:13,20:14,20:17,20:20,20:23,20:26,20:28,20:31,20:35,-,-
t184,-,-,-,-,-,20:00,20:03,,,,20:06,|,20:11,-,-,-,-,-,-,-,-,-,-,-
t185,-,-,-,-,-,20:15,20:18,,,,20:21,20:24,20:27,-,-,-,-,-,-,-,-,-,-,-
t186,-,-,-,-,-,20:20,20:23,,,,20:26,|,20:31,-,-,-,-,-,-,-,-,-,-,-
t187,-,-,-,-,-,20:28,,20:30,20:32,20:34,20:37,|,20:41,20:43,20:44,20:47,20:50,20:53,20:56,20:58,21:01,21:05,21:12,21:18
t188,-,-,-,-,-,20:40,20:43,,,,20:46,20:49,20:52,-,-,-,-,-,-,-,-,-,-,-
t189,20:42,,,,20:46,20:58,,21:00,21:02,21:04,21:07,|,21:11,21:13,21:14,21:17,21:20,21:23,21:26,21:28,21:31,21:35,-,-
t190,-,-,-,-,-,21:00,21:03,,,,21:06,21:09,21:12,-,-,-,-,-,-,-,-,-,-,-
t191,-,-,-,-,-,21:20,21:23,,,,21:26,21:29,21:32,-,-,-,-,-,-,-,-,-,-,-
