#Sunbury Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Sunbury,Diggers Rest,Watergardens,Keilor Plains,St Albans,Ginifer,Albion,Sunshine,Tottenham,West Footscray,Middle Footscray,Footscray,South Kensington,North Melbourne,Flagstaff,Melbourne Central,Parliament,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Parliament,Melbourne Central,Flagstaff,Southern Cross
t73,-,-,-,-,-,-,-,-,-,-,-,10:27,10:30,10:33,Ê,Ê,Ê,10:36,10:40,-,-,-,-,-
t74,-,-,10:11,10:14,10:17,10:19,10:22,10:24,10:28,10:30,10:32,10:34,|,10:39,10:42,10:44,10:46,Ê,10:49,10:52,Ê,Ê,Ê,10:54
t75,-,-,-,-,-,-,-,-,-,-,-,10:37,10:40,10:43,Ê,Ê,Ê,10:46,10:50,-,-,-,-,-
t76,-,-,-,-,-,-,-,-,-,-,-,10:47,10:50,10:53,Ê,Ê,Ê,10:56,11:00,-,-,-,-,-
t77,10:20,10:24,10:31,10:34,10:37,10:39,10:42,10:44,10:48,10:50,10:52,10:54,|,10:59,11:02,11:04,11:06,Ê,11:09,11:12,Ê,Ê,Ê,11:14
t78,-,-,-,-,-,-,-,-,-,-,-,10:57,11:00,11:03,Ê,Ê,Ê,11:06,11:10,-,-,-,-,-
t79,-,-,-,-,-,-,-,-,-,-,-,11:07,11:10,11:13,Ê,Ê,Ê,11:16,11:20,-,-,-,-,-
t80,-,-,10:51,10:54,10:57,10:59,11:02,11:04,11:08,11:10,11:12,11:14,|,11:19,11:22,11:24,11:26,Ê,11:29,11:32,Ê,Ê,Ê,11:34
t81,-,-,-,-,-,-,-,-,-,-,-,11:17,11:20,11:23,Ê,Ê,Ê,11:26,11:30,-,-,-,-,-
t82,-,-,-,-,-,-,-,-,-,-,-,11:27,11:30,11:33,Ê,Ê,Ê,11:36,11:40,-,-,-,-,-
t83,11:00,11:04,11:11,11:14,11:17,11:19,11:22,11:24,11:28,11:30,11:32,11:34,|,11:39,11:42,11:44,11:46,Ê,11:49,11:52,Ê,Ê,Ê,11:54
t84,-,-,-,-,-,-,-,-,-,-,-,11:37,11:40,11:43,Ê,Ê,Ê,11:46,11:50,-,-,-,-,-
t85,-,-,-,-,-,-,-,-,-,-,-,11:47,11:50,11:53,Ê,Ê,Ê,11:56,12:00,-,-,-,-,-
t86,-,-,11:31,11:34,11:37,11:39,11:42,11:44,11:48,11:50,11:52,11:54,|,11:59,12:02,12:04,12:06,Ê,12:09,12:12,Ê,Ê,Ê,12:14
t87,-,-,-,-,-,-,-,-,-,-,-,11:57,12:00,12:03,Ê,Ê,Ê,12:06,12:10,-,-,-,-,-
t88,-,-,-,-,-,-,-,-,-,-,-,12:07,12:10,12:13,Ê,Ê,Ê,12:16,12:20,-,-,-,-,-
t89,11:40,11:44,11:51,11:54,11:57,11:59,12:02,12:04,12:08,12:10,12:12,12:14,|,12:19,12:22,12:24,12:26,Ê,12:29,12:32,Ê,Ê,Ê,12:34
t90,-,-,-,-,-,-,-,-,-,-,-,12:17,12:20,12:23,Ê,Ê,Ê,12:26,12:30,-,-,-,-,-
t91,-,-,-,-,-,-,-,-,-,-,-,12:27,12:30,12:33,Ê,Ê,Ê,12:36,12:40,-,-,-,-,-
t92,-,-,12:11,12:14,12:17,12:19,12:22,12:24,12:28,12:30,12:32,12:34,|,12:39,12:42,12:44,12:46,Ê,12:49,-,-,-,-,-
t93,-,-,-,-,-,-,-,-,-,-,-,12:37,12:40,12:43,Ê,Ê,Ê,12:46,12:50,-,-,-,-,-
t94,-,-,-,-,-,-,-,-,-,-,-,12:47,12:50,12:53,Ê,Ê,Ê,12:56,13:00,-,-,-,-,-
t95,12:20,12:24,12:31,12:34,12:37,12:39,12:42,12:44,12:48,12:50,12:52,12:54,|,12:59,Ê,Ê,Ê,13:03,13:07,13:09,13:11,13:13,13:14,-
t96,-,-,-,-,-,-,-,-,-,-,-,12:57,13:00,13:03,Ê,Ê,Ê,13:06,13:10,-,-,-,-,-
t97,-,-,-,-,-,-,-,-,-,-,-,13:07,13:10,13:13,Ê,Ê,Ê,13:16,13:20,-,-,-,-,-
t98,-,-,12:51,12:54,12:57,12:59,13:02,13:04,13:08,13:10,13:12,13:14,|,13:19,Ê,Ê,Ê,13:23,13:27,13:29,13:31,13:33,13:34,-
t99,-,-,-,-,-,-,-,-,-,-,-,13:17,13:20,13:23,Ê,Ê,Ê,13:26,13:30,-,-,-,-,-
t100,-,-,-,-,-,-,-,-,-,-,-,13:27,13:30,13:33,Ê,Ê,Ê,13:36,13:40,-,-,-,-,-
t101,13:00,13:04,13:11,13:14,13:17,13:19,13:22,13:24,13:28,13:30,13:32,13:34,|,13:39,Ê,Ê,Ê,13:43,13:47,13:49,13:51,13:53,13:54,-
t102,-,-,-,-,-,-,-,-,-,-,-,13:37,13:40,13:43,Ê,Ê,Ê,13:46,13:50,-,-,-,-,-
t103,-,-,-,-,-,-,-,-,-,-,-,13:47,13:50,13:53,Ê,Ê,Ê,13:56,14:00,-,-,-,-,-
t104,-,-,13:31,13:34,13:37,13:39,13:42,13:44,13:48,13:50,13:52,13:54,|,13:59,Ê,Ê,Ê,14:03,14:07,14:09,14:11,14:13,14:14,-
t105,-,-,-,-,-,-,-,-,-,-,-,13:57,14:00,14:03,Ê,Ê,Ê,14:06,14:10,-,-,-,-,-
t106,-,-,-,-,-,-,-,-,-,-,-,14:07,14:10,14:13,Ê,Ê,Ê,14:16,14:20,-,-,-,-,-
t107,13:40,13:44,13:51,13:54,13:57,13:59,14:02,14:04,14:08,14:10,14:12,14:14,|,14:19,Ê,Ê,Ê,14:23,14:27,-,-,-,-,-
t108,-,-,-,-,-,-,-,-,-,-,-,14:17,14:20,14:23,Ê,Ê,Ê,14:26,14:30,-,-,-,-,-
t109,-,-,-,-,-,-,-,-,-,-,-,14:27,14:30,14:33,Ê,Ê,Ê,14:36,14:40,-,-,-,-,-
