#Alamein Line - To City,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Alamein,Asburton,Burwood,Hartwell,Willison,Riversdale,Camberwell,Auburn,Glenferrie,Hawthorn,Burnley,East Richmond,Richmond,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament
t94,-,-,-,-,-,-,13:36,13:38,13:40,13:42,13:44,|,13:47,,,,,13:51,-,-,-,-,-
t95,13:38,13:39,13:41,13:43,13:44,13:46,13:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t96,-,-,-,-,-,-,13:51,13:53,13:55,13:57,13:59,|,14:02,,,,,14:06,-,-,-,-,-
t97,13:53,13:54,13:56,13:58,13:59,14:01,14:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t98,-,-,-,-,-,-,14:06,14:08,14:10,14:12,14:14,|,14:17,,,,,14:21,-,-,-,-,-
t99,14:08,14:09,14:11,14:13,14:14,14:16,14:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t100,-,-,-,-,-,-,14:21,14:23,14:25,14:27,14:29,|,14:32,,,,,14:36,-,-,-,-,-
t101,-,-,-,-,-,-,14:36,|,|,|,|,|,14:44,,,,,14:48,-,-,-,-,-
t102,14:26,14:27,14:29,14:31,14:33,14:35,14:38,14:40,14:42,14:44,14:46,14:48,14:50,,,,,14:55,-,-,-,-,-
t103,-,-,-,-,-,-,14:51,|,14:54,|,|,|,15:00,,,,,15:04,-,-,-,-,-
t104,14:41,14:42,14:44,14:46,14:48,14:50,14:53,14:55,14:57,14:59,15:01,15:03,15:05,,,,,15:09,-,-,-,-,-
t105,-,-,-,-,-,-,15:06,|,15:09,|,|,|,15:15,,,,,15:21,15:23,15:26,15:28,15:29,15:30
t106,14:54,14:55,14:57,14:59,15:01,15:03,15:08,15:10,15:12,15:14,15:16,15:18,15:20,,,,,15:24,-,-,-,-,-
t107,-,-,-,-,-,-,15:21,|,15:24,|,|,|,15:30,,,,,15:34,15:38,15:41,15:43,15:45,15:46
t108,15:09,15:10,15:12,15:14,15:15,15:17,15:23,15:25,15:27,15:29,15:31,15:33,15:35,,,,,15:40,-,-,-,-,-
t109,-,-,-,-,-,-,15:28,15:30,15:32,15:34,15:36,15:38,15:40,,,,,15:44,15:46,15:49,15:51,15:53,15:54
t110,-,-,-,-,-,-,15:36,|,15:39,|,|,|,15:45,,,,,15:49,15:51,15:54,15:56,15:58,15:59
t111,15:24,15:25,15:27,15:29,15:31,15:33,15:38,15:40,15:42,15:44,15:46,15:48,15:50,,,,,15:55,-,-,-,-,-
t112,-,-,-,-,-,-,15:43,15:45,15:47,15:49,15:51,15:53,15:55,,,,,15:59,16:01,16:04,16:06,16:08,16:09
t113,-,-,-,-,-,-,15:51,|,15:54,|,|,|,16:00,,,,,16:04,-,-,-,-,-
t114,-,-,-,-,-,-,15:57,15:59,16:01,16:03,16:05,16:07,16:09,,,,,16:13,16:15,16:18,16:20,16:22,16:23
t115,-,-,-,-,-,-,16:02,|,16:05,|,|,|,16:11,,,,,16:15,16:17,16:20,16:22,16:24,16:25
t116,-,-,-,-,-,-,16:08,16:10,16:12,16:14,16:16,16:18,16:20,,,,,16:24,-,-,-,-,-
t117,15:59,16:00,16:02,16:04,16:06,16:08,16:11,16:13,16:15,16:17,16:19,16:21,16:23,,,,,16:27,16:30,16:33,16:35,16:37,16:38
t118,-,-,-,-,-,-,16:17,|,16:20,|,|,|,16:26,,,,,16:30,-,-,-,-,-
t119,-,-,-,-,-,-,16:23,16:25,16:27,16:29,16:31,16:33,16:35,,,,,16:40,16:46,16:49,16:51,16:53,16:54
t120,16:15,16:16,16:18,16:20,16:22,16:24,16:27,16:29,16:31,16:33,16:35,16:37,16:39,,,,,16:43,16:46,16:49,16:51,16:53,16:54
t121,-,-,-,-,-,-,16:32,|,16:35,|,|,|,16:41,,,,,16:45,-,-,-,-,-
t122,-,-,-,-,-,-,16:38,16:40,16:42,16:44,16:46,16:48,16:50,,,,,16:55,16:58,17:01,17:03,17:05,17:06
t123,16:31,16:32,16:34,16:36,16:38,16:40,16:43,16:45,16:47,16:49,16:51,16:53,16:55,,,,,16:59,17:01,17:04,17:06,17:08,17:09
t124,-,-,-,-,-,-,16:47,|,16:50,|,|,|,16:57,,,,,17:01,-,-,-,-,-
