#Belgrave Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Belgrave,Tecoma,Upwey,Upper Ferntree Gully (ARR),Upper Ferntree Gully (DEP),Ferntree Gully,Boronia,Bayswater,Heathmont,Ringwood,Heatherdale,Mitcham,Nunawading,Blackburn,Laburnum,Box Hill,Mont Albert,Surrey Hills,Chatham,Canterbury,East Camberwell,Camberwell,Auburn,Glenferrie
t122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:43,16:45,16:47
t123,-,-,-,-,-,-,-,-,-,16:25,16:27,16:29,16:32,16:35,16:37,16:40,|,|,|,|,|,16:47,|,16:50
t124,-,-,-,-,-,-,-,-,-,-,-,-,-,16:38,|,16:42,16:44,16:45,16:47,16:49,16:51,16:53,16:55,16:57
t125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:55,16:57,16:59
t126,16:14,16:16,16:18,16:22,16:22,16:25,16:27,16:30,16:34,16:37,16:39,16:41,16:44,16:47,16:49,16:52,|,|,|,|,|,16:59,|,17:02
t127,-,-,-,-,-,-,-,-,-,16:40,16:42,16:44,16:47,16:50,16:52,16:55,|,|,|,|,|,17:02,|,17:05
t128,-,-,-,-,-,-,-,-,-,-,-,-,-,16:52,16:54,16:57,16:59,17:00,17:02,17:04,17:06,17:08,17:10,17:12
t129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:10,17:12,17:14
t130,16:29,16:31,16:33,16:37,16:37,16:40,16:42,16:45,16:49,16:52,16:54,16:56,16:59,17:02,17:04,17:07,|,|,|,|,|,17:14,|,17:17
t131,-,-,-,-,-,-,-,-,-,16:55,16:57,16:59,17:02,17:05,17:07,17:10,|,|,|,|,|,17:17,|,17:20
t132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:22,17:24,17:26
t133,-,-,-,-,-,-,-,-,-,-,-,-,-,17:08,17:10,17:13,17:15,17:16,17:18,17:20,17:22,17:24,17:26,17:28
t134,16:44,16:46,16:48,16:52,16:52,16:55,16:57,17:00,17:04,17:07,17:09,17:11,17:14,17:17,17:19,17:22,|,|,|,|,|,17:29,|,|
t135,-,-,-,-,-,-,-,-,-,17:10,17:12,17:14,17:17,17:20,17:22,17:25,|,|,|,|,|,17:32,|,17:35
t136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:36,|,17:39
t137,-,-,-,-,-,-,-,-,-,-,-,-,-,17:22,17:24,17:27,17:29,17:30,17:32,17:34,17:36,17:38,17:40,17:42
t138,16:59,17:01,17:03,17:07,17:07,17:10,17:12,17:15,17:19,17:22,17:24,17:26,17:29,17:32,17:34,17:37,|,|,|,|,|,17:44,|,17:47
t139,-,-,-,-,-,-,-,-,-,17:25,17:27,17:29,17:32,17:35,17:37,17:40,|,|,|,|,|,17:47,|,17:50
t140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:51,17:53,17:55
t141,-,-,-,-,-,-,-,-,-,-,-,-,-,17:37,17:39,17:42,17:44,17:45,17:47,17:49,17:51,17:53,17:55,17:57
t142,17:14,17:16,17:18,17:22,17:22,17:25,17:27,17:30,17:34,17:37,17:39,17:41,17:44,17:47,17:49,17:52,|,|,|,|,|,17:59,|,18:02
t143,-,-,-,-,-,-,-,-,-,17:40,17:42,17:44,17:47,17:50,17:52,17:55,|,|,|,|,|,18:02,|,18:05
t144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:05,18:07,18:09
t145,-,-,-,-,-,-,-,-,-,-,-,-,-,17:52,17:54,17:57,17:59,18:00,18:02,18:04,18:06,18:08,18:10,18:12
t146,17:29,17:31,17:33,17:37,17:39,17:42,17:44,17:47,17:51,17:54,17:56,17:58,18:01,18:04,18:06,18:09,|,|,|,|,|,18:16,|,|
t147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:19,18:21,18:23
t148,-,-,-,-,-,-,-,-,-,-,-,-,-,18:07,18:09,18:12,18:14,18:15,18:17,18:19,18:21,18:23,18:25,18:27
